Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,year,OL,RPt%,ROW,RgRec,RgPt%,RW
Philadelphia Flyers,80,48,12,20,116,.725,327,254,0.87,-0.04,1980,,,,,,
New York Islanders,80,39,28,13,91,.569,281,247,0.41,-0.02,1980,,,,,,
New York Rangers,80,38,32,10,86,.538,308,284,0.29,-0.01,1980,,,,,,
Atlanta Flames,80,35,32,13,83,.519,282,269,0.16,-0.01,1980,,,,,,
Washington Capitals,80,27,40,13,67,.419,261,293,-0.38,0.02,1980,,,,,,
Chicago Black Hawks,80,34,27,19,87,.544,241,250,-0.11,0.01,1980,,,,,,
St. Louis Blues,80,34,34,12,80,.500,266,278,-0.14,0.01,1980,,,,,,
Vancouver Canucks,80,27,37,16,70,.438,256,281,-0.30,0.02,1980,,,,,,
Edmonton Oilers,80,28,39,13,69,.431,301,322,-0.25,0.01,1980,,,,,,
Winnipeg Jets,80,20,49,11,51,.319,214,314,-1.19,0.06,1980,,,,,,
Colorado Rockies,80,19,48,13,51,.319,234,308,-0.88,0.04,1980,,,,,,
Buffalo Sabres,80,47,17,16,110,.688,318,201,1.39,-0.07,1980,,,,,,
Boston Bruins,80,46,21,13,105,.656,310,234,0.91,-0.05,1980,,,,,,
Minnesota North Stars,80,36,28,16,88,.550,311,253,0.69,-0.04,1980,,,,,,
Toronto Maple Leafs,80,35,40,5,75,.469,304,327,-0.27,0.01,1980,,,,,,
Quebec Nordiques,80,25,44,11,61,.381,248,313,-0.77,0.04,1980,,,,,,
Montreal Canadiens,80,47,20,13,107,.669,328,240,1.05,-0.05,1980,,,,,,
Los Angeles Kings,80,30,36,14,74,.463,290,313,-0.27,0.01,1980,,,,,,
Pittsburgh Penguins,80,30,37,13,73,.456,251,303,-0.62,0.03,1980,,,,,,
Hartford Whalers,80,27,34,19,73,.456,303,312,-0.11,0.01,1980,,,,,,
Detroit Red Wings,80,26,43,11,63,.394,268,306,-0.45,0.02,1980,,,,,,
New York Islanders,80,48,18,14,110,.688,355,260,1.13,-0.06,1981,,,,,,
Philadelphia Flyers,80,41,24,15,97,.606,313,249,0.76,-0.04,1981,,,,,,
Calgary Flames,80,39,27,14,92,.575,329,298,0.37,-0.02,1981,,,,,,
New York Rangers,80,30,36,14,74,.463,312,317,-0.06,0.00,1981,,,,,,
Washington Capitals,80,26,36,18,70,.438,286,317,-0.37,0.02,1981,,,,,,
St. Louis Blues,80,45,18,17,107,.669,352,281,0.85,-0.04,1981,,,,,,
Chicago Black Hawks,80,31,33,16,78,.488,304,315,-0.13,0.01,1981,,,,,,
Vancouver Canucks,80,28,32,20,76,.475,289,301,-0.14,0.01,1981,,,,,,
Edmonton Oilers,80,29,35,16,74,.463,328,327,0.01,0.00,1981,,,,,,
Colorado Rockies,80,22,45,13,57,.356,258,344,-1.02,0.05,1981,,,,,,
Winnipeg Jets,80,9,57,14,32,.200,246,400,-1.83,0.09,1981,,,,,,
Buffalo Sabres,80,39,20,21,99,.619,327,250,0.92,-0.05,1981,,,,,,
Boston Bruins,80,37,30,13,87,.544,316,272,0.52,-0.03,1981,,,,,,
Minnesota North Stars,80,35,28,17,87,.544,291,263,0.33,-0.02,1981,,,,,,
Quebec Nordiques,80,30,32,18,78,.488,314,318,-0.05,0.00,1981,,,,,,
Toronto Maple Leafs,80,28,37,15,71,.444,322,367,-0.54,0.03,1981,,,,,,
Montreal Canadiens,80,45,22,13,103,.644,332,232,1.19,-0.06,1981,,,,,,
Los Angeles Kings,80,43,24,13,99,.619,337,290,0.56,-0.03,1981,,,,,,
Pittsburgh Penguins,80,30,37,13,73,.456,302,345,-0.51,0.03,1981,,,,,,
Hartford Whalers,80,21,41,18,60,.375,292,372,-0.95,0.05,1981,,,,,,
Detroit Red Wings,80,19,43,18,56,.350,252,339,-1.04,0.05,1981,,,,,,
Minnesota North Stars,80,37,23,20,94,.588,346,288,0.53,-0.19,1982,,,,,,
Winnipeg Jets,80,33,33,14,80,.500,319,332,-0.28,-0.12,1982,,,,,,
St. Louis Blues,80,32,40,8,72,.450,315,349,-0.52,-0.10,1982,,,,,,
Chicago Black Hawks,80,30,38,12,72,.450,332,363,-0.49,-0.10,1982,,,,,,
Toronto Maple Leafs,80,20,44,16,56,.350,298,380,-1.08,-0.05,1982,,,,,,
Detroit Red Wings,80,21,47,12,54,.338,270,351,-1.07,-0.05,1982,,,,,,
Edmonton Oilers,80,48,17,15,111,.694,417,295,1.33,-0.19,1982,,,,,,
Vancouver Canucks,80,30,33,17,77,.481,290,286,-0.01,-0.06,1982,,,,,,
Calgary Flames,80,29,34,17,75,.469,334,345,-0.18,-0.04,1982,,,,,,
Los Angeles Kings,80,24,41,15,63,.394,314,369,-0.68,0.01,1982,,,,,,
Colorado Rockies,80,18,49,13,49,.306,241,362,-1.43,0.08,1982,,,,,,
Montreal Canadiens,80,46,17,17,109,.681,360,223,1.68,-0.04,1982,,,,,,
Boston Bruins,80,43,27,10,96,.600,323,285,0.55,0.08,1982,,,,,,
Buffalo Sabres,80,39,26,15,93,.581,307,273,0.51,0.08,1982,,,,,,
Quebec Nordiques,80,33,31,16,82,.513,356,345,0.25,0.11,1982,,,,,,
Hartford Whalers,80,21,41,18,60,.375,264,351,-0.87,0.22,1982,,,,,,
New York Islanders,80,54,16,10,118,.738,385,250,1.63,-0.05,1982,,,,,,
New York Rangers,80,39,27,14,92,.575,316,306,0.21,0.09,1982,,,,,,
Philadelphia Flyers,80,38,31,11,87,.544,325,313,0.24,0.09,1982,,,,,,
Pittsburgh Penguins,80,31,36,13,75,.469,310,337,-0.21,0.13,1982,,,,,,
Washington Capitals,80,26,41,13,65,.406,319,338,-0.12,0.12,1982,,,,,,
Chicago Black Hawks,80,47,23,10,104,.650,338,268,0.75,-0.12,1983,,,,,,
Minnesota North Stars,80,40,24,16,96,.600,321,290,0.31,-0.08,1983,,,,,,
Toronto Maple Leafs,80,28,40,12,68,.425,293,330,-0.46,0.00,1983,,,,,,
St. Louis Blues,80,25,40,15,65,.406,285,316,-0.40,-0.01,1983,,,,,,
Detroit Red Wings,80,21,44,15,57,.356,263,344,-0.96,0.05,1983,,,,,,
Edmonton Oilers,80,47,21,12,106,.663,424,315,1.26,-0.10,1983,,,,,,
Calgary Flames,80,32,34,14,78,.488,321,317,0.07,0.02,1983,,,,,,
Vancouver Canucks,80,30,35,15,75,.469,303,309,-0.04,0.03,1983,,,,,,
Winnipeg Jets,80,33,39,8,74,.463,311,333,-0.23,0.05,1983,,,,,,
Los Angeles Kings,80,27,41,12,66,.413,308,365,-0.62,0.09,1983,,,,,,
Boston Bruins,80,50,20,10,110,.688,327,228,1.18,-0.06,1983,,,,,,
Montreal Canadiens,80,42,24,14,98,.613,350,286,0.78,-0.02,1983,,,,,,
Buffalo Sabres,80,38,29,13,89,.556,318,285,0.43,0.02,1983,,,,,,
Quebec Nordiques,80,34,34,12,80,.500,343,336,0.14,0.05,1983,,,,,,
Hartford Whalers,80,19,54,7,45,.281,261,403,-1.56,0.22,1983,,,,,,
Philadelphia Flyers,80,49,23,8,106,.663,326,240,0.96,-0.12,1983,,,,,,
New York Islanders,80,42,26,12,96,.600,302,226,0.84,-0.11,1983,,,,,,
Washington Capitals,80,39,25,16,94,.588,306,283,0.23,-0.05,1983,,,,,,
New York Rangers,80,35,35,10,80,.500,306,287,0.19,-0.05,1983,,,,,,
New Jersey Devils,80,17,49,14,48,.300,230,338,-1.27,0.08,1983,,,,,,
Pittsburgh Penguins,80,18,53,9,45,.281,257,394,-1.61,0.11,1983,,,,,,
Minnesota North Stars,80,39,31,10,88,.550,345,344,-0.14,-0.15,1984,,,,,,
St. Louis Blues,80,32,41,7,71,.444,293,316,-0.41,-0.12,1984,,,,,,
Detroit Red Wings,80,31,42,7,69,.431,298,323,-0.43,-0.12,1984,,,,,,
Chicago Black Hawks,80,30,42,8,68,.425,277,311,-0.54,-0.11,1984,,,,,,
Toronto Maple Leafs,80,26,45,9,61,.381,303,387,-1.10,-0.05,1984,,,,,,
Edmonton Oilers,80,57,18,5,119,.744,446,314,1.51,-0.15,1984,,,,,,
Calgary Flames,80,34,32,14,82,.513,311,314,-0.03,0.01,1984,,,,,,
Vancouver Canucks,80,32,39,9,73,.456,306,328,-0.25,0.03,1984,,,,,,
Winnipeg Jets,80,31,38,11,73,.456,340,374,-0.38,0.04,1984,,,,,,
Los Angeles Kings,80,23,44,13,59,.369,309,376,-0.76,0.08,1984,,,,,,
Boston Bruins,80,49,25,6,104,.650,336,261,1.01,0.07,1984,,,,,,
Buffalo Sabres,80,48,25,7,103,.644,315,257,0.82,0.09,1984,,,,,,
Quebec Nordiques,80,42,28,10,94,.588,360,278,1.09,0.06,1984,,,,,,
Montreal Canadiens,80,35,40,5,75,.469,286,295,0.06,0.17,1984,,,,,,
Hartford Whalers,80,28,42,10,66,.413,288,320,-0.21,0.19,1984,,,,,,
New York Islanders,80,50,26,4,104,.650,357,269,1.00,-0.10,1984,,,,,,
Washington Capitals,80,48,27,5,101,.631,308,226,0.93,-0.09,1984,,,,,,
Philadelphia Flyers,80,44,26,10,98,.613,350,290,0.68,-0.07,1984,,,,,,
New York Rangers,80,42,29,9,93,.581,314,304,0.10,-0.02,1984,,,,,,
New Jersey Devils,80,17,56,7,41,.256,231,350,-1.38,0.11,1984,,,,,,
Pittsburgh Penguins,80,16,58,6,38,.238,254,390,-1.57,0.13,1984,,,,,,
St. Louis Blues,80,37,31,12,86,.538,299,288,-0.04,-0.18,1985,,,,,,
Chicago Black Hawks,80,38,35,7,83,.519,309,299,-0.05,-0.18,1985,,,,,,
Detroit Red Wings,80,27,41,12,66,.413,313,357,-0.66,-0.11,1985,,,,,,
Minnesota North Stars,80,25,43,12,62,.388,268,321,-0.77,-0.10,1985,,,,,,
Toronto Maple Leafs,80,20,52,8,48,.300,253,358,-1.36,-0.04,1985,,,,,,
Edmonton Oilers,80,49,20,11,109,.681,401,298,1.25,-0.04,1985,,,,,,
Winnipeg Jets,80,43,27,10,96,.600,358,332,0.37,0.05,1985,,,,,,
Calgary Flames,80,41,27,12,94,.588,363,302,0.77,0.01,1985,,,,,,
Los Angeles Kings,80,34,32,14,82,.513,339,326,0.23,0.06,1985,,,,,,
Vancouver Canucks,80,25,46,9,59,.369,284,401,-1.25,0.21,1985,,,,,,
Montreal Canadiens,80,41,27,12,94,.588,309,262,0.64,0.05,1985,,,,,,
Quebec Nordiques,80,41,30,9,91,.569,323,275,0.65,0.05,1985,,,,,,
Buffalo Sabres,80,38,28,14,90,.563,290,237,0.71,0.04,1985,,,,,,
Boston Bruins,80,36,34,10,82,.513,303,287,0.29,0.09,1985,,,,,,
Hartford Whalers,80,30,41,9,69,.431,268,318,-0.47,0.16,1985,,,,,,
Philadelphia Flyers,80,53,20,7,113,.706,348,241,1.22,-0.12,1985,,,,,,
Washington Capitals,80,46,25,9,101,.631,322,240,0.93,-0.10,1985,,,,,,
New York Islanders,80,40,34,6,86,.538,345,312,0.37,-0.05,1985,,,,,,
New York Rangers,80,26,44,10,62,.388,295,345,-0.59,0.04,1985,,,,,,
New Jersey Devils,80,22,48,10,54,.338,264,346,-0.96,0.07,1985,,,,,,
Pittsburgh Penguins,80,24,51,5,53,.331,276,385,-1.27,0.10,1985,,,,,,
Chicago Black Hawks,80,39,33,8,86,.538,351,349,-0.15,-0.17,1986,,,,,,
Minnesota North Stars,80,38,33,9,85,.531,327,305,0.08,-0.20,1986,,,,,,
St. Louis Blues,80,37,34,9,83,.519,302,291,-0.05,-0.18,1986,,,,,,
Toronto Maple Leafs,80,25,48,7,57,.356,311,386,-1.02,-0.09,1986,,,,,,
Detroit Red Wings,80,17,57,6,40,.250,266,415,-1.86,0.00,1986,,,,,,
Edmonton Oilers,80,56,17,7,119,.744,426,310,1.25,-0.20,1986,,,,,,
Calgary Flames,80,40,31,9,89,.556,354,315,0.37,-0.12,1986,,,,,,
Winnipeg Jets,80,26,47,7,59,.369,295,372,-0.95,0.02,1986,,,,,,
Vancouver Canucks,80,23,44,13,59,.369,282,333,-0.65,-0.01,1986,,,,,,
Los Angeles Kings,80,23,49,8,54,.338,284,389,-1.26,0.05,1986,,,,,,
Quebec Nordiques,80,43,31,6,92,.575,330,289,0.60,0.09,1986,,,,,,
Montreal Canadiens,80,40,33,7,87,.544,330,280,0.70,0.08,1986,,,,,,
Boston Bruins,80,37,31,12,86,.538,311,288,0.40,0.11,1986,,,,,,
Hartford Whalers,80,40,36,4,84,.525,332,302,0.48,0.10,1986,,,,,,
Buffalo Sabres,80,37,37,6,80,.500,296,291,0.19,0.13,1986,,,,,,
Philadelphia Flyers,80,53,23,4,110,.688,335,241,1.17,-0.01,1986,,,,,,
Washington Capitals,80,50,23,7,107,.669,315,272,0.58,0.04,1986,,,,,,
New York Islanders,80,39,29,12,90,.563,327,284,0.58,0.04,1986,,,,,,
New York Rangers,80,36,38,6,78,.488,280,276,0.13,0.08,1986,,,,,,
Pittsburgh Penguins,80,34,38,8,76,.475,313,305,0.18,0.08,1986,,,,,,
New Jersey Devils,80,28,49,3,59,.369,300,374,-0.76,0.16,1986,,,,,,
St. Louis Blues,80,32,33,15,79,.494,281,293,-0.22,-0.07,1987,,,,,,
Detroit Red Wings,80,34,36,10,78,.488,260,274,-0.25,-0.07,1987,,,,,,
Chicago Blackhawks,80,29,37,14,72,.450,290,310,-0.32,-0.07,1987,,,,,,
Toronto Maple Leafs,80,32,42,6,70,.438,286,319,-0.46,-0.05,1987,,,,,,
Minnesota North Stars,80,30,40,10,70,.438,296,314,-0.29,-0.07,1987,,,,,,
Edmonton Oilers,80,50,24,6,106,.663,372,284,1.06,-0.04,1987,,,,,,
Calgary Flames,80,46,31,3,95,.594,318,289,0.39,0.03,1987,,,,,,
Winnipeg Jets,80,40,32,8,88,.550,279,271,0.15,0.05,1987,,,,,,
Los Angeles Kings,80,31,41,8,70,.438,318,341,-0.20,0.09,1987,,,,,,
Vancouver Canucks,80,29,43,8,66,.413,282,314,-0.30,0.10,1987,,,,,,
Hartford Whalers,80,43,30,7,93,.581,287,270,0.23,0.02,1987,,,,,,
Montreal Canadiens,80,41,29,10,92,.575,277,241,0.45,0.00,1987,,,,,,
Boston Bruins,80,39,34,7,85,.531,301,276,0.32,0.01,1987,,,,,,
Quebec Nordiques,80,31,39,10,72,.450,267,276,-0.07,0.05,1987,,,,,,
Buffalo Sabres,80,28,44,8,64,.400,280,308,-0.28,0.07,1987,,,,,,
Philadelphia Flyers,80,46,26,8,100,.625,310,245,0.74,-0.08,1987,,,,,,
Washington Capitals,80,38,32,10,86,.538,285,278,0.07,-0.02,1987,,,,,,
New York Islanders,80,35,33,12,82,.513,279,281,-0.03,-0.01,1987,,,,,,
New York Rangers,80,34,38,8,76,.475,307,323,-0.19,0.01,1987,,,,,,
Pittsburgh Penguins,80,30,38,12,72,.450,297,290,0.07,-0.02,1987,,,,,,
New Jersey Devils,80,29,45,6,64,.400,293,368,-0.87,0.07,1987,,,,,,
Detroit Red Wings,80,41,28,11,93,.581,322,269,0.44,-0.23,1988,,,,,,
St. Louis Blues,80,34,38,8,76,.475,278,294,-0.35,-0.15,1988,,,,,,
Chicago Blackhawks,80,30,41,9,69,.431,284,328,-0.67,-0.12,1988,,,,,,
Toronto Maple Leafs,80,21,49,10,52,.325,273,345,-0.99,-0.09,1988,,,,,,
Minnesota North Stars,80,19,48,13,51,.319,242,349,-1.38,-0.05,1988,,,,,,
Calgary Flames,80,48,23,9,105,.656,397,305,1.10,-0.05,1988,,,,,,
Edmonton Oilers,80,44,25,11,99,.619,363,288,0.91,-0.03,1988,,,,,,
Winnipeg Jets,80,33,36,11,77,.481,292,310,-0.15,0.08,1988,,,,,,
Los Angeles Kings,80,30,42,8,68,.425,318,359,-0.41,0.10,1988,,,,,,
Vancouver Canucks,80,25,46,9,59,.369,272,320,-0.49,0.11,1988,,,,,,
Montreal Canadiens,80,45,22,13,103,.644,298,238,0.71,-0.04,1988,,,,,,
Boston Bruins,80,44,30,6,94,.588,300,251,0.59,-0.03,1988,,,,,,
Buffalo Sabres,80,37,32,11,85,.531,283,305,-0.22,0.06,1988,,,,,,
Hartford Whalers,80,35,38,7,77,.481,249,267,-0.17,0.05,1988,,,,,,
Quebec Nordiques,80,32,43,5,69,.431,271,306,-0.37,0.07,1988,,,,,,
New York Islanders,80,39,31,10,88,.550,308,267,0.54,0.03,1988,,,,,,
Washington Capitals,80,38,33,9,85,.531,281,249,0.44,0.04,1988,,,,,,
Philadelphia Flyers,80,38,33,9,85,.531,292,292,0.07,0.07,1988,,,,,,
New Jersey Devils,80,38,36,6,82,.513,295,296,0.06,0.07,1988,,,,,,
New York Rangers,80,36,34,10,82,.513,300,283,0.26,0.05,1988,,,,,,
Pittsburgh Penguins,80,36,35,9,81,.506,319,316,0.10,0.06,1988,,,,,,
Detroit Red Wings,80,34,34,12,80,.500,313,316,-0.17,-0.14,1989,,,,,,
St. Louis Blues,80,33,35,12,78,.488,275,285,-0.25,-0.13,1989,,,,,,
Minnesota North Stars,80,27,37,16,70,.438,258,278,-0.37,-0.12,1989,,,,,,
Chicago Blackhawks,80,27,41,12,66,.413,297,335,-0.57,-0.10,1989,,,,,,
Toronto Maple Leafs,80,28,46,6,62,.388,259,342,-1.08,-0.05,1989,,,,,,
Calgary Flames,80,54,17,9,117,.731,354,226,1.57,-0.03,1989,,,,,,
Los Angeles Kings,80,42,31,7,91,.569,376,335,0.58,0.07,1989,,,,,,
Edmonton Oilers,80,38,34,8,84,.525,325,306,0.33,0.10,1989,,,,,,
Vancouver Canucks,80,33,39,8,74,.463,251,253,0.10,0.12,1989,,,,,,
Winnipeg Jets,80,26,42,12,64,.400,300,355,-0.51,0.18,1989,,,,,,
Montreal Canadiens,80,53,18,9,115,.719,315,218,1.16,-0.06,1989,,,,,,
Boston Bruins,80,37,29,14,88,.550,289,256,0.43,0.02,1989,,,,,,
Buffalo Sabres,80,38,35,7,83,.519,291,299,-0.04,0.06,1989,,,,,,
Hartford Whalers,80,37,38,5,79,.494,299,290,0.16,0.04,1989,,,,,,
Quebec Nordiques,80,27,46,7,61,.381,269,342,-0.78,0.14,1989,,,,,,
Washington Capitals,80,41,29,10,92,.575,305,259,0.50,-0.07,1989,,,,,,
Pittsburgh Penguins,80,40,33,7,87,.544,347,349,-0.05,-0.02,1989,,,,,,
New York Rangers,80,37,35,8,82,.513,310,307,0.01,-0.03,1989,,,,,,
Philadelphia Flyers,80,36,36,8,80,.500,307,285,0.23,-0.05,1989,,,,,,
New Jersey Devils,80,27,41,12,66,.413,281,325,-0.53,0.02,1989,,,,,,
New York Islanders,80,28,47,5,61,.381,265,325,-0.72,0.04,1989,,,,,,
Chicago Blackhawks,80,41,33,6,88,.550,316,294,0.23,-0.05,1990,,,,,,
St. Louis Blues,80,37,34,9,83,.519,295,279,0.16,-0.04,1990,,,,,,
Toronto Maple Leafs,80,38,38,4,80,.500,337,358,-0.26,0.00,1990,,,,,,
Minnesota North Stars,80,36,40,4,76,.475,284,291,-0.10,-0.02,1990,,,,,,
Detroit Red Wings,80,28,38,14,70,.438,288,323,-0.42,0.02,1990,,,,,,
Calgary Flames,80,42,23,15,99,.619,348,265,1.00,-0.04,1990,,,,,,
Edmonton Oilers,80,38,28,14,90,.563,315,283,0.42,0.02,1990,,,,,,
Winnipeg Jets,80,37,32,11,85,.531,298,290,0.15,0.05,1990,,,,,,
Los Angeles Kings,80,34,39,7,75,.469,338,337,0.07,0.06,1990,,,,,,
Vancouver Canucks,80,25,41,14,64,.400,245,306,-0.64,0.13,1990,,,,,,
Boston Bruins,80,46,25,9,101,.631,289,232,0.64,-0.08,1990,,,,,,
Buffalo Sabres,80,45,27,8,98,.613,286,248,0.42,-0.05,1990,,,,,,
Montreal Canadiens,80,41,28,11,93,.581,288,234,0.60,-0.07,1990,,,,,,
Hartford Whalers,80,38,33,9,85,.531,275,268,0.07,-0.02,1990,,,,,,
Quebec Nordiques,80,12,61,7,31,.194,240,407,-1.91,0.18,1990,,,,,,
New York Rangers,80,36,31,13,85,.531,279,267,0.12,-0.03,1990,,,,,,
New Jersey Devils,80,37,34,9,83,.519,295,288,0.06,-0.03,1990,,,,,,
Washington Capitals,80,36,38,6,78,.488,284,275,0.08,-0.03,1990,,,,,,
New York Islanders,80,31,38,11,73,.456,281,288,-0.10,-0.01,1990,,,,,,
Pittsburgh Penguins,80,32,40,8,72,.450,318,359,-0.49,0.02,1990,,,,,,
Philadelphia Flyers,80,30,39,11,71,.444,290,297,-0.10,-0.01,1990,,,,,,
Chicago Blackhawks,80,49,23,8,106,.663,284,211,0.85,-0.06,1991,,,,,,
St. Louis Blues,80,47,22,11,105,.656,310,250,0.70,-0.05,1991,,,,,,
Detroit Red Wings,80,34,38,8,76,.475,273,298,-0.27,0.05,1991,,,,,,
Minnesota North Stars,80,27,39,14,68,.425,256,266,-0.10,0.03,1991,,,,,,
